name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
VRQB,2017-09-08,2017,9,"After Sunset Games, LLC",Action;Casual;Indie;Sports,6.37,0-20000,0,13,0.923,True,False,False,False,True,569420,False
A Demon's Game - Episode 1,2017-02-09,2017,2,RP Studios,Violent;Gore;Action;Adventure;Indie,3.18,0-20000,0,38,0.684,True,False,False,False,True,569430,False
Kingdoms and Castles,2017-07-20,2017,7,"Lion Shield, LLC",Indie;Simulation;Strategy,7.97,500000-1000000,500000,7499,0.851,True,False,True,True,True,569480,False
Remain,2016-12-21,2016,12,Enjoy Games,Action;Adventure;Indie,3.64,0-20000,0,29,0.517,True,True,False,False,True,569490,False
Monkey Land 3D: Reaper Rush,2017-02-14,2017,2,Full Metal Jacket Games,Action;Adventure;Indie,7.97,0-20000,0,7,0.286,True,False,False,False,True,569500,False
The Mine,2016-12-20,2016,12,Stepanov Dmitriy,Adventure;Indie,2.38,0-20000,0,8,1.0,True,True,False,False,True,569520,False
Sky Noon,2018-12-18,2018,12,Lunar Rooster,Action;Indie,12.98,0-20000,0,231,0.827,True,True,False,True,False,569530,False
Light Apprentice - The Comic Book RPG,2017-11-10,2017,11,Amazu Media,Action;Adventure;Indie;RPG,7.97,0-20000,0,46,0.891,True,True,False,False,True,569570,False
Distant Space,2016-12-20,2016,12,PixelMouse,Action;Adventure;Casual;Indie,0.9,50000-100000,50000,183,0.781,True,True,True,False,True,569610,False
Out of Ammo: Death Drive,2017-08-16,2017,8,RocketWerkz,Violent;Gore;Action;Indie;Strategy,8.2,0-20000,0,63,0.778,True,False,False,False,True,569630,False
TUNNEL DIVERS,2018-07-06,2018,7,Spasman Games,Action;Free to Play;Indie,0.0,20000-50000,20000,106,0.925,True,False,False,True,False,569720,True
Last Answer,2017-01-09,2017,1,Taste Games,Indie,4.55,100000-200000,100000,125,0.408,True,False,True,False,True,569760,False
StarShip Constructor,2017-07-19,2017,7,SSCTEAM,Indie;Early Access,4.55,20000-50000,20000,201,0.746,True,False,False,False,True,569770,False
LEAVES - The Journey,2017-03-07,2017,3,ZAR 21,Adventure;Indie,6.37,20000-50000,20000,104,0.76,True,False,False,False,True,569800,False
